# l,b,dered_u,dered_g,dered_r,dered_i,dered_z
331.277712044924,80.0656641356898,22.4635,21.67787,21.2764,21.2566,21.24943
331.882841411524,80.2076392068079,24.83755,22.306,21.71056,21.7676,21.85047
332.005639590124,80.1323765484172,22.73557,21.69274,21.42746,21.29555,20.91624
331.715234920186,80.0321191822833,23.62387,22.29742,22.12165,22.00751,21.30003
331.650499235691,80.0091493037023,22.22348,21.30997,21.00368,20.82236,20.8082
332.174437691654,80.0627474176929,18.81623,18.29559,18.11412,18.07068,17.93588
332.508417439857,80.1121247775392,17.5048,15.86876,15.29432,15.08963,15.03539
333.03272949315,80.0917059808461,17.07684,15.7127,15.23323,15.06984,15.03765
332.17471372302,79.9977709685084,19.20404,18.28172,18.03867,17.97257,17.97152
332.566915627693,80.0624909418826,19.65617,18.46881,18.00455,17.8238,17.75436
332.060152235561,79.9616363841633,21.15273,20.18254,19.69368,19.54959,19.45095
332.391601544662,79.9452141224608,21.57608,20.85043,20.71103,20.57119,20.57179
332.408109565152,79.9458804585036,21.99877,20.93573,20.68537,20.5736,20.77233
332.988637816421,80.0763930009638,22.44626,21.65271,21.29029,21.15988,20.76791
332.687652476889,80.0976084264909,24.07098,22.92417,22.33471,22.06814,22.07359
332.334834385337,79.9852892294304,22.632,22.08047,21.67571,21.63015,21.2116
332.531305262959,79.9899651514207,22.2776,21.2342,20.94108,20.83975,21.3938
332.438574250995,79.9617371616719,23.35999,22.42469,22.34113,21.87895,21.76069
332.436172242777,79.9606367854716,22.92197,22.01142,21.63051,21.54922,21.46507
332.46048258209,79.9648739189122,23.84113,22.52126,22.19011,22.17621,22.48401
332.891648016361,80.0470272401863,23.33533,22.62237,22.14285,22.30477,22.19333
332.742262851376,79.9303770610509,17.78807,16.57219,16.61073,16.69188,16.7182
332.734396093579,79.9308386068678,21.16493,20.27929,20.18942,20.08879,19.9313
332.894058935791,79.8682494206223,25.14918,22.94555,22.50634,22.10516,22.03955
333.198011885704,79.9656755607658,21.76365,20.8409,20.61057,20.43067,20.23198
333.067933615706,79.8638338319765,20.88693,19.97236,19.65379,19.61424,19.44589
